dataset,model,cpu_load,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed,n_samples
Banknote,Linear,2.6875,0.983660,0.982534,0.981850,0.981818,0.006774,7.084489e-02,2.130338e-07,1.098888e-06,1372
Banknote,Linear,2.6875,0.973856,0.972699,0.970980,0.970909,0.006027,7.084489e-02,2.130338e-07,1.098888e-06,1372
Banknote,Linear,2.6875,0.972066,0.971301,0.970844,0.970803,0.005843,7.084489e-02,2.130338e-07,1.098888e-06,1372
Banknote,Linear,2.6875,0.992612,0.992701,0.992701,0.992701,0.005277,7.084489e-02,2.130338e-07,1.098888e-06,1372
Banknote,Linear,2.6875,0.990132,0.989314,0.989063,0.989051,0.005065,7.084489e-02,2.130338e-07,1.098888e-06,1372
Banknote,Forest,2.6875,0.993464,0.992845,0.992733,0.992727,0.184149,1.428834e+00,3.267170e-06,1.685298e-05,1372
Banknote,Forest,2.6875,1.000000,1.000000,1.000000,1.000000,0.170771,1.428834e+00,3.267170e-06,1.685298e-05,1372
Banknote,Forest,2.6875,0.990132,0.989314,0.989063,0.989051,0.153701,1.428834e+00,3.267170e-06,1.685298e-05,1372
Banknote,Forest,2.6875,0.995902,0.996374,0.996349,0.996350,0.172415,1.428834e+00,3.267170e-06,1.685298e-05,1372
Banknote,Forest,2.6875,0.995902,0.996374,0.996349,0.996350,0.158298,1.428834e+00,3.267170e-06,1.685298e-05,1372
Banknote,SupportVector,3.0,1.000000,1.000000,1.000000,1.000000,0.007940,8.108234e-02,2.300088e-07,1.186450e-06,1372
Banknote,SupportVector,3.0,1.000000,1.000000,1.000000,1.000000,0.006909,8.108234e-02,2.300088e-07,1.186450e-06,1372
Banknote,SupportVector,3.0,1.000000,1.000000,1.000000,1.000000,0.006778,8.108234e-02,2.300088e-07,1.186450e-06,1372
Banknote,SupportVector,3.0,1.000000,1.000000,1.000000,1.000000,0.007612,8.108234e-02,2.300088e-07,1.186450e-06,1372
Banknote,SupportVector,3.0,1.000000,1.000000,1.000000,1.000000,0.007104,8.108234e-02,2.300088e-07,1.186450e-06,1372
Banknote,Neighbors,3.0,1.000000,1.000000,1.000000,1.000000,0.004650,1.600776e-01,4.946442e-07,2.551514e-06,1372
Banknote,Neighbors,3.0,1.000000,1.000000,1.000000,1.000000,0.004956,1.600776e-01,4.946442e-07,2.551514e-06,1372
Banknote,Neighbors,3.0,0.993421,0.992818,0.992706,0.992701,0.041749,1.600776e-01,4.946442e-07,2.551514e-06,1372
Banknote,Neighbors,3.0,1.000000,1.000000,1.000000,1.000000,0.004384,1.600776e-01,4.946442e-07,2.551514e-06,1372
Banknote,Neighbors,3.0,1.000000,1.000000,1.000000,1.000000,0.004393,1.600776e-01,4.946442e-07,2.551514e-06,1372
Banknote,NaiveBayes,3.75,0.830521,0.836605,0.835568,0.836364,0.004113,5.936861e-02,1.817765e-07,9.376545e-07,1372
Banknote,NaiveBayes,3.75,0.851066,0.851991,0.851168,0.850909,0.004213,5.936861e-02,1.817765e-07,9.376545e-07,1372
Banknote,NaiveBayes,3.75,0.798965,0.807353,0.805093,0.806569,0.003996,5.936861e-02,1.817765e-07,9.376545e-07,1372
Banknote,NaiveBayes,3.75,0.845772,0.857136,0.852542,0.854015,0.003623,5.936861e-02,1.817765e-07,9.376545e-07,1372
Banknote,NaiveBayes,3.75,0.853915,0.857570,0.857327,0.857664,0.004100,5.936861e-02,1.817765e-07,9.376545e-07,1372
Banknote,GradientBoost,3.75,0.996732,0.996393,0.996365,0.996364,0.322541,1.870933e+00,4.279682e-06,2.207580e-05,1372
Banknote,GradientBoost,3.75,1.000000,1.000000,1.000000,1.000000,0.238075,1.870933e+00,4.279682e-06,2.207580e-05,1372
Banknote,GradientBoost,3.75,0.990132,0.989314,0.989063,0.989051,0.263504,1.870933e+00,4.279682e-06,2.207580e-05,1372
Banknote,GradientBoost,3.75,0.995902,0.996374,0.996349,0.996350,0.242561,1.870933e+00,4.279682e-06,2.207580e-05,1372
Banknote,GradientBoost,3.75,1.000000,1.000000,1.000000,1.000000,0.219893,1.870933e+00,4.279682e-06,2.207580e-05,1372
Banknote,Neural,11.625,1.000000,1.000000,1.000000,1.000000,1.107847,5.040642e+00,1.155036e-05,5.958000e-05,1372
Banknote,Neural,11.625,1.000000,1.000000,1.000000,1.000000,0.848104,5.040642e+00,1.155036e-05,5.958000e-05,1372
Banknote,Neural,11.625,1.000000,1.000000,1.000000,1.000000,0.794318,5.040642e+00,1.155036e-05,5.958000e-05,1372
Banknote,Neural,11.625,1.000000,1.000000,1.000000,1.000000,0.850490,5.040642e+00,1.155036e-05,5.958000e-05,1372
Banknote,Neural,11.625,1.000000,1.000000,1.000000,1.000000,0.863600,5.040642e+00,1.155036e-05,5.958000e-05,1372
Ionosphere,Linear,1.1875,0.826923,0.894366,0.865736,0.873239,0.140671,3.011625e-01,8.983948e-07,4.634174e-06,351
Ionosphere,Linear,1.1875,0.775556,0.812857,0.808855,0.814286,0.030183,3.011625e-01,8.983948e-07,4.634174e-06,351
Ionosphere,Linear,1.1875,0.888889,0.917396,0.912383,0.914286,0.018692,3.011625e-01,8.983948e-07,4.634174e-06,351
Ionosphere,Linear,1.1875,0.937778,0.942857,0.942857,0.942857,0.016730,3.011625e-01,8.983948e-07,4.634174e-06,351
Ionosphere,Linear,1.1875,0.848889,0.892968,0.881494,0.885714,0.012340,3.011625e-01,8.983948e-07,4.634174e-06,351
Ionosphere,Forest,1.1875,0.903846,0.936620,0.927685,0.929577,0.155415,1.280864e+00,2.927222e-06,1.509944e-05,351
Ionosphere,Forest,1.1875,0.860000,0.913462,0.895469,0.900000,0.142758,1.280864e+00,2.927222e-06,1.509944e-05,351
Ionosphere,Forest,1.1875,0.928889,0.943439,0.942288,0.942857,0.135363,1.280864e+00,2.927222e-06,1.509944e-05,351
Ionosphere,Forest,1.1875,0.933333,0.930876,0.915816,0.914286,0.127201,1.280864e+00,2.927222e-06,1.509944e-05,351
Ionosphere,Forest,1.1875,0.980000,0.986025,0.985647,0.985714,0.130365,1.280864e+00,2.927222e-06,1.509944e-05,351
Ionosphere,SupportVector,1.625,0.903846,0.936620,0.927685,0.929577,0.009274,9.904265e-02,2.697369e-07,1.391379e-06,351
Ionosphere,SupportVector,1.625,0.857778,0.887269,0.883177,0.885714,0.008240,9.904265e-02,2.697369e-07,1.391379e-06,351
Ionosphere,SupportVector,1.625,0.900000,0.935714,0.926483,0.928571,0.007912,9.904265e-02,2.697369e-07,1.391379e-06,351
Ionosphere,SupportVector,1.625,0.977778,0.973545,0.971653,0.971429,0.008028,9.904265e-02,2.697369e-07,1.391379e-06,351
Ionosphere,SupportVector,1.625,0.960000,0.972644,0.971144,0.971429,0.008151,9.904265e-02,2.697369e-07,1.391379e-06,351
Ionosphere,Neighbors,1.625,0.750000,0.857941,0.797940,0.816901,0.005803,1.934195e-01,5.689291e-07,2.934697e-06,351
Ionosphere,Neighbors,1.625,0.717778,0.799745,0.767164,0.785714,0.007144,1.934195e-01,5.689291e-07,2.934697e-06,351
Ionosphere,Neighbors,1.625,0.788889,0.858631,0.832753,0.842857,0.004405,1.934195e-01,5.689291e-07,2.934697e-06,351
Ionosphere,Neighbors,1.625,0.917778,0.928313,0.928235,0.928571,0.004969,1.934195e-01,5.689291e-07,2.934697e-06,351
Ionosphere,Neighbors,1.625,0.800000,0.883117,0.846429,0.857143,0.004023,1.934195e-01,5.689291e-07,2.934697e-06,351
Ionosphere,NaiveBayes,1.625,0.846154,0.904332,0.881680,0.887324,0.006160,1.364162e-01,3.569146e-07,1.841066e-06,351
Ionosphere,NaiveBayes,1.625,0.720000,0.847458,0.774573,0.800000,0.044859,1.364162e-01,3.569146e-07,1.841066e-06,351
Ionosphere,NaiveBayes,1.625,0.788889,0.858631,0.832753,0.842857,0.006700,1.364162e-01,3.569146e-07,1.841066e-06,351
Ionosphere,NaiveBayes,1.625,0.966667,0.961735,0.957617,0.957143,0.005569,1.364162e-01,3.569146e-07,1.841066e-06,351
Ionosphere,NaiveBayes,1.625,0.917778,0.928313,0.928235,0.928571,0.006607,1.364162e-01,3.569146e-07,1.841066e-06,351
Ionosphere,GradientBoost,2.0,0.884615,0.925435,0.912622,0.915493,0.318903,2.001623e+00,4.580313e-06,2.362654e-05,351
Ionosphere,GradientBoost,2.0,0.840000,0.902965,0.879495,0.885714,0.286444,2.001623e+00,4.580313e-06,2.362654e-05,351
Ionosphere,GradientBoost,2.0,0.920000,0.947522,0.941588,0.942857,0.282000,2.001623e+00,4.580313e-06,2.362654e-05,351
Ionosphere,GradientBoost,2.0,0.955556,0.950739,0.943645,0.942857,0.280510,2.001623e+00,4.580313e-06,2.362654e-05,351
Ionosphere,GradientBoost,2.0,0.937778,0.942857,0.942857,0.942857,0.272382,2.001623e+00,4.580313e-06,2.362654e-05,351
Ionosphere,Neural,10.125,0.826923,0.894366,0.865736,0.873239,1.397840,6.009669e+00,1.377666e-05,7.106389e-05,351
Ionosphere,Neural,10.125,0.828889,0.881258,0.865603,0.871429,0.970896,6.009669e+00,1.377666e-05,7.106389e-05,351
Ionosphere,Neural,10.125,0.900000,0.935714,0.926483,0.928571,1.473436,6.009669e+00,1.377666e-05,7.106389e-05,351
Ionosphere,Neural,10.125,0.948889,0.957169,0.956941,0.957143,0.843912,6.009669e+00,1.377666e-05,7.106389e-05,351
Ionosphere,Neural,10.125,0.888889,0.917396,0.912383,0.914286,0.719722,6.009669e+00,1.377666e-05,7.106389e-05,351
Iris,Linear,0.9375,0.900000,0.902357,0.899749,0.900000,0.006148,6.080294e-02,1.838216e-07,9.482037e-07,150
