dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Eeg-eye-state-T1,Linear,56.99999999999999,14980.000000,0.568244,0.581190,0.572345,0.587116,0.058900,6.945300e-01,1.592207e-06,8.213050e-06
Eeg-eye-state-T1,Linear,56.99999999999999,14980.000000,0.608108,0.622090,0.614053,0.624499,0.063620,6.945300e-01,1.592207e-06,8.213050e-06
Eeg-eye-state-T1,Linear,56.99999999999999,14980.000000,0.575226,0.590110,0.578755,0.594793,0.064253,6.945300e-01,1.592207e-06,8.213050e-06
Eeg-eye-state-T1,Linear,56.99999999999999,14980.000000,0.572003,0.587660,0.574770,0.592457,0.083841,6.945300e-01,1.592207e-06,8.213050e-06
Eeg-eye-state-T1,Linear,56.99999999999999,14980.000000,0.551559,0.564465,0.553470,0.572430,0.079499,6.945300e-01,1.592207e-06,8.213050e-06
Eeg-eye-state-T1,Forest,67.0,14980.000000,0.926453,0.930716,0.929667,0.929907,2.577982,1.367807e+01,3.136262e-05,1.617772e-04
Eeg-eye-state-T1,Forest,67.0,14980.000000,0.926566,0.930078,0.929380,0.929573,2.618488,1.367807e+01,3.136262e-05,1.617772e-04
Eeg-eye-state-T1,Forest,67.0,14980.000000,0.929193,0.932295,0.931747,0.931909,2.623189,1.367807e+01,3.136262e-05,1.617772e-04
Eeg-eye-state-T1,Forest,67.0,14980.000000,0.919927,0.925051,0.923583,0.923899,2.631780,1.367807e+01,3.136262e-05,1.617772e-04
Eeg-eye-state-T1,Forest,67.0,14980.000000,0.925820,0.928939,0.928401,0.928571,2.623529,1.367807e+01,3.136262e-05,1.617772e-04
Eeg-eye-state-T1,SupportVector,81.0,14980.000000,0.711095,0.741968,0.718692,0.728972,5.481242,3.463160e+01,7.949971e-05,4.100819e-04
Eeg-eye-state-T1,SupportVector,81.0,14980.000000,0.678565,0.702872,0.685474,0.695928,5.567115,3.463160e+01,7.949971e-05,4.100819e-04
Eeg-eye-state-T1,SupportVector,81.0,14980.000000,0.664319,0.733539,0.664168,0.691923,4.973448,3.463160e+01,7.949971e-05,4.100819e-04
Eeg-eye-state-T1,SupportVector,81.0,14980.000000,0.606385,0.657526,0.600270,0.635514,5.471143,3.463160e+01,7.949971e-05,4.100819e-04
Eeg-eye-state-T1,SupportVector,81.0,14980.000000,0.583846,0.633983,0.572190,0.615154,6.007751,3.463160e+01,7.949971e-05,4.100819e-04
Eeg-eye-state-T1,Neighbors,83.0,14980.000000,0.912732,0.913571,0.913560,0.913551,0.042877,2.626998e+00,6.027302e-06,3.109052e-05
Eeg-eye-state-T1,Neighbors,83.0,14980.000000,0.862805,0.864182,0.864166,0.864152,0.034833,2.626998e+00,6.027302e-06,3.109052e-05
Eeg-eye-state-T1,Neighbors,83.0,14980.000000,0.899801,0.901829,0.901758,0.901869,0.034159,2.626998e+00,6.027302e-06,3.109052e-05
Eeg-eye-state-T1,Neighbors,83.0,14980.000000,0.810271,0.815467,0.814644,0.815421,0.034914,2.626998e+00,6.027302e-06,3.109052e-05
Eeg-eye-state-T1,Neighbors,83.0,14980.000000,0.835261,0.837074,0.837093,0.837116,0.035839,2.626998e+00,6.027302e-06,3.109052e-05
Eeg-eye-state-T1,NaiveBayes,83.0,14980.000000,0.539649,0.554566,0.498317,0.518024,0.023390,4.121630e-01,9.455794e-07,4.877565e-06
Eeg-eye-state-T1,NaiveBayes,83.0,14980.000000,0.506419,0.532529,0.346248,0.461949,0.022015,4.121630e-01,9.455794e-07,4.877565e-06
Eeg-eye-state-T1,NaiveBayes,83.0,14980.000000,0.497959,0.490612,0.312686,0.450935,0.021392,4.121630e-01,9.455794e-07,4.877565e-06
Eeg-eye-state-T1,NaiveBayes,83.0,14980.000000,0.497657,0.476541,0.297273,0.448932,0.022757,4.121630e-01,9.455794e-07,4.877565e-06
Eeg-eye-state-T1,NaiveBayes,83.0,14980.000000,0.494353,0.434044,0.292478,0.445594,0.024561,4.121630e-01,9.455794e-07,4.877565e-06
Eeg-eye-state-T1,GradientBoost,87.0,14980.000000,0.799971,0.806920,0.805204,0.806409,2.727466,1.402091e+01,3.214861e-05,1.658316e-04
Eeg-eye-state-T1,GradientBoost,87.0,14980.000000,0.801522,0.813427,0.808236,0.810414,2.769676,1.402091e+01,3.214861e-05,1.658316e-04
Eeg-eye-state-T1,GradientBoost,87.0,14980.000000,0.808824,0.816316,0.814169,0.815421,2.717086,1.402091e+01,3.214861e-05,1.658316e-04
Eeg-eye-state-T1,GradientBoost,87.0,14980.000000,0.801759,0.814020,0.808504,0.810748,2.692205,1.402091e+01,3.214861e-05,1.658316e-04
Eeg-eye-state-T1,GradientBoost,87.0,14980.000000,0.805836,0.815131,0.811789,0.813418,2.745357,1.402091e+01,3.214861e-05,1.658316e-04
Eeg-eye-state-T1,Neural,101.0,14980.000000,0.921944,0.922602,0.922579,0.922563,31.519366,1.997919e+02,4.581061e-04,2.363041e-03
Eeg-eye-state-T1,Neural,101.0,14980.000000,0.901426,0.902524,0.902530,0.902537,49.923163,1.997919e+02,4.581061e-04,2.363041e-03
Eeg-eye-state-T1,Neural,101.0,14980.000000,0.929813,0.932034,0.931803,0.931909,49.436388,1.997919e+02,4.581061e-04,2.363041e-03
Eeg-eye-state-T1,Neural,101.0,14980.000000,0.851684,0.855082,0.854808,0.855140,33.887875,1.997919e+02,4.581061e-04,2.363041e-03
Eeg-eye-state-T1,Neural,101.0,14980.000000,0.862091,0.866426,0.865708,0.866155,34.731876,1.997919e+02,4.581061e-04,2.363041e-03
Eeg-eye-state-T1-P,Linear,100.0,14980.000000,0.568244,0.581190,0.572345,0.587116,0.057146,7.260900e-01,1.664500e-06,8.585961e-06
Eeg-eye-state-T1-P,Linear,100.0,14980.000000,0.608108,0.622090,0.614053,0.624499,0.070939,7.260900e-01,1.664500e-06,8.585961e-06
Eeg-eye-state-T1-P,Linear,100.0,14980.000000,0.575226,0.590110,0.578755,0.594793,0.067900,7.260900e-01,1.664500e-06,8.585961e-06
Eeg-eye-state-T1-P,Linear,100.0,14980.000000,0.572003,0.587660,0.574770,0.592457,0.086963,7.260900e-01,1.664500e-06,8.585961e-06
Eeg-eye-state-T1-P,Linear,100.0,14980.000000,0.551559,0.564465,0.553470,0.572430,0.087956,7.260900e-01,1.664500e-06,8.585961e-06
Eeg-eye-state-T1-P,Forest,100.0,14980.000000,0.929473,0.932647,0.932077,0.932243,2.705816,1.390203e+01,3.187474e-05,1.644189e-04
Eeg-eye-state-T1-P,Forest,100.0,14980.000000,0.924473,0.928104,0.927364,0.927570,2.619456,1.390203e+01,3.187474e-05,1.644189e-04
Eeg-eye-state-T1-P,Forest,100.0,14980.000000,0.930708,0.934070,0.933403,0.933578,2.642256,1.390203e+01,3.187474e-05,1.644189e-04
Eeg-eye-state-T1-P,Forest,100.0,14980.000000,0.921855,0.926531,0.925287,0.925567,2.538882,1.390203e+01,3.187474e-05,1.644189e-04
Eeg-eye-state-T1-P,Forest,100.0,14980.000000,0.925476,0.929136,0.928366,0.928571,2.812923,1.390203e+01,3.187474e-05,1.644189e-04
Eeg-eye-state-T1-P,SupportVector,108.0,14980.000000,0.711095,0.741968,0.718692,0.728972,6.598632,3.542793e+01,8.131051e-05,4.194225e-04
Eeg-eye-state-T1-P,SupportVector,108.0,14980.000000,0.678565,0.702872,0.685474,0.695928,5.708547,3.542793e+01,8.131051e-05,4.194225e-04
Eeg-eye-state-T1-P,SupportVector,108.0,14980.000000,0.664319,0.733539,0.664168,0.691923,5.045213,3.542793e+01,8.131051e-05,4.194225e-04
