dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Test 1,Linear,106.0,45312.000000,0.742392,0.760573,0.755441,0.759903,0.204981,1.674224e+00,3.838560e-06,1.980037e-05
Test 1,Linear,106.0,45312.000000,0.744838,0.764322,0.758218,0.762992,0.098753,1.674224e+00,3.838560e-06,1.980037e-05
Test 1,Linear,106.0,45312.000000,0.743752,0.764479,0.757476,0.762635,0.102663,1.674224e+00,3.838560e-06,1.980037e-05
Test 1,Linear,106.0,45312.000000,0.743124,0.761173,0.756138,0.760539,0.101596,1.674224e+00,3.838560e-06,1.980037e-05
Test 1,Linear,106.0,45312.000000,0.741217,0.760332,0.754555,0.759325,0.107875,1.674224e+00,3.838560e-06,1.980037e-05
Test 1,Forest,103.0,45312.000000,0.900138,0.904472,0.904326,0.904557,5.792217,3.022143e+01,6.933226e-05,3.576353e-04
Test 1,Forest,103.0,45312.000000,0.900784,0.905788,0.905474,0.905771,5.608737,3.022143e+01,6.933226e-05,3.576353e-04
Test 1,Forest,103.0,45312.000000,0.900684,0.905397,0.905161,0.905429,5.706219,3.022143e+01,6.933226e-05,3.576353e-04
Test 1,Forest,103.0,45312.000000,0.902872,0.906996,0.906877,0.907085,5.808903,3.022143e+01,6.933226e-05,3.576353e-04
Test 1,Forest,103.0,45312.000000,0.903270,0.907823,0.907608,0.907857,5.571324,3.022143e+01,6.933226e-05,3.576353e-04
Test 1,SupportVector,101.0,45312.000000,0.784673,0.798124,0.795473,0.797859,32.730150,2.027613e+02,4.655478e-04,2.401427e-03
Test 1,SupportVector,101.0,45312.000000,0.787638,0.802116,0.798810,0.801390,32.599216,2.027613e+02,4.655478e-04,2.401427e-03
Test 1,SupportVector,101.0,45312.000000,0.786580,0.801610,0.797988,0.800706,33.172891,2.027613e+02,4.655478e-04,2.401427e-03
Test 1,SupportVector,101.0,45312.000000,0.790149,0.803681,0.800913,0.803244,32.502634,2.027613e+02,4.655478e-04,2.401427e-03
Test 1,SupportVector,101.0,45312.000000,0.787100,0.802025,0.798461,0.801148,32.310963,2.027613e+02,4.655478e-04,2.401427e-03
Test 1,Neighbors,101.0,45312.000000,0.831933,0.837076,0.837163,0.837471,0.120344,7.270375e+00,1.667663e-05,8.602276e-05
Test 1,Neighbors,101.0,45312.000000,0.823545,0.830584,0.830365,0.831071,0.110051,7.270375e+00,1.667663e-05,8.602276e-05
Test 1,Neighbors,101.0,45312.000000,0.829744,0.834950,0.835041,0.835356,0.125496,7.270375e+00,1.667663e-05,8.602276e-05
Test 1,Neighbors,101.0,45312.000000,0.832356,0.837035,0.837138,0.837343,0.132173,7.270375e+00,1.667663e-05,8.602276e-05
Test 1,Neighbors,101.0,45312.000000,0.832115,0.838103,0.838072,0.838557,0.125805,7.270375e+00,1.667663e-05,8.602276e-05
Test 1,NaiveBayes,101.0,45312.000000,0.701267,0.766833,0.717364,0.737504,0.069433,1.237222e+00,2.837845e-06,1.463840e-05
Test 1,NaiveBayes,101.0,45312.000000,0.684716,0.770119,0.698722,0.726139,0.060843,1.237222e+00,2.837845e-06,1.463840e-05
Test 1,NaiveBayes,101.0,45312.000000,0.668150,0.765204,0.679492,0.712977,0.055751,1.237222e+00,2.837845e-06,1.463840e-05
Test 1,NaiveBayes,101.0,45312.000000,0.699273,0.771841,0.715092,0.737144,0.066253,1.237222e+00,2.837845e-06,1.463840e-05
Test 1,NaiveBayes,101.0,45312.000000,0.688221,0.768198,0.702879,0.728426,0.063849,1.237222e+00,2.837845e-06,1.463840e-05
Test 1,GradientBoost,100.0,45312.000000,0.820974,0.828504,0.828162,0.828975,5.911670,3.023565e+01,6.935411e-05,3.577480e-04
Test 1,GradientBoost,100.0,45312.000000,0.822488,0.832291,0.831030,0.832285,5.899467,3.023565e+01,6.935411e-05,3.577480e-04
Test 1,GradientBoost,100.0,45312.000000,0.825201,0.834956,0.833687,0.834915,5.968302,3.023565e+01,6.935411e-05,3.577480e-04
Test 1,GradientBoost,100.0,45312.000000,0.827570,0.835461,0.834931,0.835798,5.687211,3.023565e+01,6.935411e-05,3.577480e-04
Test 1,GradientBoost,100.0,45312.000000,0.830138,0.838306,0.837646,0.838557,5.700696,3.023565e+01,6.935411e-05,3.577480e-04
Test 1,Neural,100.0,45312.000000,0.822954,0.830903,0.830398,0.831292,54.670029,2.889968e+02,6.629013e-04,3.419432e-03
Test 1,Neural,100.0,45312.000000,0.817486,0.823895,0.823880,0.824451,52.694429,2.889968e+02,6.629013e-04,3.419432e-03
Test 1,Neural,100.0,45312.000000,0.812217,0.821603,0.820662,0.821894,47.627941,2.889968e+02,6.629013e-04,3.419432e-03
