dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Electricity-w,Linear,0.0,45312.000000,0.742392,0.760573,0.755441,0.759903,0.096096,1.797599e+00,4.106227e-06,2.118108e-05
Electricity-w,Linear,0.0,45312.000000,0.744838,0.764322,0.758218,0.762992,0.085765,1.797599e+00,4.106227e-06,2.118108e-05
Electricity-w,Linear,0.0,45312.000000,0.743752,0.764479,0.757476,0.762635,0.090328,1.797599e+00,4.106227e-06,2.118108e-05
Electricity-w,Linear,0.0,45312.000000,0.743124,0.761173,0.756138,0.760539,0.098796,1.797599e+00,4.106227e-06,2.118108e-05
Electricity-w,Linear,0.0,45312.000000,0.741217,0.760332,0.754555,0.759325,0.089584,1.797599e+00,4.106227e-06,2.118108e-05
Electricity-w,Forest,0.0,45312.000000,0.900705,0.904663,0.904586,0.904778,4.105031,2.238175e+01,5.131219e-05,2.646827e-04
Electricity-w,Forest,0.0,45312.000000,0.900963,0.906294,0.905885,0.906212,3.981576,2.238175e+01,5.131219e-05,2.646827e-04
Electricity-w,Forest,0.0,45312.000000,0.900047,0.904596,0.904405,0.904657,3.979430,2.238175e+01,5.131219e-05,2.646827e-04
Electricity-w,Forest,0.0,45312.000000,0.905685,0.909647,0.909542,0.909733,4.031172,2.238175e+01,5.131219e-05,2.646827e-04
Electricity-w,Forest,0.0,45312.000000,0.904619,0.909287,0.909033,0.909292,4.215033,2.238175e+01,5.131219e-05,2.646827e-04
Electricity-w,SupportVector,0.0,45312.000000,0.784673,0.798124,0.795473,0.797859,24.498262,2.230856e+02,5.119645e-04,2.640857e-03
Electricity-w,SupportVector,0.0,45312.000000,0.787638,0.802116,0.798810,0.801390,24.405199,2.230856e+02,5.119645e-04,2.640857e-03
Electricity-w,SupportVector,0.0,45312.000000,0.786580,0.801610,0.797988,0.800706,25.024226,2.230856e+02,5.119645e-04,2.640857e-03
Electricity-w,SupportVector,0.0,45312.000000,0.790149,0.803681,0.800913,0.803244,24.595791,2.230856e+02,5.119645e-04,2.640857e-03
Electricity-w,SupportVector,0.0,45312.000000,0.787100,0.802025,0.798461,0.801148,25.198369,2.230856e+02,5.119645e-04,2.640857e-03
Electricity-w,Neighbors,0.0,45312.000000,0.831933,0.837076,0.837163,0.837471,0.105002,6.453735e+00,1.478303e-05,7.625502e-05
Electricity-w,Neighbors,0.0,45312.000000,0.823545,0.830584,0.830365,0.831071,0.097018,6.453735e+00,1.478303e-05,7.625502e-05
Electricity-w,Neighbors,0.0,45312.000000,0.829744,0.834950,0.835041,0.835356,0.096001,6.453735e+00,1.478303e-05,7.625502e-05
Electricity-w,Neighbors,0.0,45312.000000,0.832356,0.837035,0.837138,0.837343,0.095001,6.453735e+00,1.478303e-05,7.625502e-05
Electricity-w,Neighbors,0.0,45312.000000,0.832115,0.838103,0.838072,0.838557,0.098002,6.453735e+00,1.478303e-05,7.625502e-05
Electricity-w,NaiveBayes,0.0,45312.000000,0.701267,0.766833,0.717364,0.737504,0.056000,1.532398e+00,3.502706e-06,1.806795e-05
Electricity-w,NaiveBayes,0.0,45312.000000,0.684716,0.770119,0.698722,0.726139,0.052996,1.532398e+00,3.502706e-06,1.806795e-05
Electricity-w,NaiveBayes,0.0,45312.000000,0.668150,0.765204,0.679492,0.712977,0.048010,1.532398e+00,3.502706e-06,1.806795e-05
Electricity-w,NaiveBayes,0.0,45312.000000,0.699273,0.771841,0.715092,0.737144,0.049002,1.532398e+00,3.502706e-06,1.806795e-05
Electricity-w,NaiveBayes,0.0,45312.000000,0.688221,0.768198,0.702879,0.728426,0.050004,1.532398e+00,3.502706e-06,1.806795e-05
Electricity-w,GradientBoost,0.0,45312.000000,0.820974,0.828504,0.828162,0.828975,4.509037,2.373560e+01,5.440351e-05,2.806286e-04
Electricity-w,GradientBoost,0.0,45312.000000,0.822488,0.832291,0.831030,0.832285,4.427092,2.373560e+01,5.440351e-05,2.806286e-04
Electricity-w,GradientBoost,0.0,45312.000000,0.825201,0.834956,0.833687,0.834915,4.307966,2.373560e+01,5.440351e-05,2.806286e-04
Electricity-w,GradientBoost,0.0,45312.000000,0.827570,0.835461,0.834931,0.835798,4.407454,2.373560e+01,5.440351e-05,2.806286e-04
Electricity-w,GradientBoost,0.0,45312.000000,0.830138,0.838306,0.837646,0.838557,4.414581,2.373560e+01,5.440351e-05,2.806286e-04
Electricity-w,Neural,0.0,45312.000000,0.822346,0.828895,0.828813,0.829416,87.922823,4.336928e+02,9.942211e-04,5.128473e-03
Electricity-w,Neural,0.0,45312.000000,0.822050,0.827062,0.827181,0.827430,86.744981,4.336928e+02,9.942211e-04,5.128473e-03
Electricity-w,Neural,0.0,45312.000000,0.819796,0.824415,0.824513,0.824652,78.268038,4.336928e+02,9.942211e-04,5.128473e-03
Electricity-w,Neural,0.0,45312.000000,0.821413,0.829972,0.829261,0.830280,81.933060,4.336928e+02,9.942211e-04,5.128473e-03
Electricity-w,Neural,0.0,45312.000000,0.828166,0.831355,0.831036,0.830832,97.228984,4.336928e+02,9.942211e-04,5.128473e-03
Electricity-u,Linear,1.1875,45312,0.742392,0.760573,0.755441,0.759903,0.122993,2.028139e+00,4.649567e-06,2.398378e-05
Electricity-u,Linear,1.1875,45312,0.744838,0.764322,0.758218,0.762992,0.105706,2.028139e+00,4.649567e-06,2.398378e-05
Electricity-u,Linear,1.1875,45312,0.743752,0.764479,0.757476,0.762635,0.068786,2.028139e+00,4.649567e-06,2.398378e-05
Electricity-u,Linear,1.1875,45312,0.743124,0.761173,0.756138,0.760539,0.088658,2.028139e+00,4.649567e-06,2.398378e-05
Electricity-u,Linear,1.1875,45312,0.741217,0.760332,0.754555,0.759325,0.081635,2.028139e+00,4.649567e-06,2.398378e-05
Electricity-u,Forest,3.375,45312,0.899671,0.903667,0.903589,0.903785,3.977530,2.168454e+01,4.976147e-05,2.566837e-04
Electricity-u,Forest,3.375,45312,0.902092,0.907406,0.906992,0.907315,4.094402,2.168454e+01,4.976147e-05,2.566837e-04
Electricity-u,Forest,3.375,45312,0.899638,0.904666,0.904357,0.904657,4.054358,2.168454e+01,4.976147e-05,2.566837e-04
Electricity-u,Forest,3.375,45312,0.905437,0.909188,0.909121,0.909292,4.033120,2.168454e+01,4.976147e-05,2.566837e-04
Electricity-u,Forest,3.375,45312,0.905578,0.910430,0.910120,0.910395,3.892483,2.168454e+01,4.976147e-05,2.566837e-04
Electricity-u,SupportVector,6.25,45312,0.784673,0.798124,0.795473,0.797859,23.955537,1.509721e+02,3.467465e-04,1.788616e-03
Electricity-u,SupportVector,6.25,45312,0.787638,0.802116,0.798810,0.801390,24.073514,1.509721e+02,3.467465e-04,1.788616e-03
Electricity-u,SupportVector,6.25,45312,0.786580,0.801610,0.797988,0.800706,24.342189,1.509721e+02,3.467465e-04,1.788616e-03
Electricity-u,SupportVector,6.25,45312,0.790149,0.803681,0.800913,0.803244,24.286553,1.509721e+02,3.467465e-04,1.788616e-03
Electricity-u,SupportVector,6.25,45312,0.787100,0.802025,0.798461,0.801148,24.498802,1.509721e+02,3.467465e-04,1.788616e-03
Electricity-u,Neighbors,6.25,45312,0.831933,0.837076,0.837163,0.837471,0.084294,5.184276e+00,1.190289e-05,6.139846e-05
Electricity-u,Neighbors,6.25,45312,0.823545,0.830584,0.830365,0.831071,0.074118,5.184276e+00,1.190289e-05,6.139846e-05
Electricity-u,Neighbors,6.25,45312,0.829744,0.834950,0.835041,0.835356,0.075147,5.184276e+00,1.190289e-05,6.139846e-05
Electricity-u,Neighbors,6.25,45312,0.832356,0.837035,0.837138,0.837343,0.076944,5.184276e+00,1.190289e-05,6.139846e-05
Electricity-u,Neighbors,6.25,45312,0.832115,0.838103,0.838072,0.838557,0.073225,5.184276e+00,1.190289e-05,6.139846e-05
Electricity-u,NaiveBayes,6.25,45312,0.701267,0.766833,0.717364,0.737504,0.082799,1.409837e+00,3.234067e-06,1.668223e-05
Electricity-u,NaiveBayes,6.25,45312,0.684716,0.770119,0.698722,0.726139,0.040977,1.409837e+00,3.234067e-06,1.668223e-05
Electricity-u,NaiveBayes,6.25,45312,0.668150,0.765204,0.679492,0.712977,0.040072,1.409837e+00,3.234067e-06,1.668223e-05
Electricity-u,NaiveBayes,6.25,45312,0.699273,0.771841,0.715092,0.737144,0.036914,1.409837e+00,3.234067e-06,1.668223e-05
Electricity-u,NaiveBayes,6.25,45312,0.688221,0.768198,0.702879,0.728426,0.037760,1.409837e+00,3.234067e-06,1.668223e-05
Electricity-u,GradientBoost,6.25,45312,0.820974,0.828504,0.828162,0.828975,4.272889,2.233228e+01,5.128425e-05,2.645386e-04
Electricity-u,GradientBoost,6.25,45312,0.822488,0.832291,0.831030,0.832285,4.183285,2.233228e+01,5.128425e-05,2.645386e-04
Electricity-u,GradientBoost,6.25,45312,0.825201,0.834956,0.833687,0.834915,4.116386,2.233228e+01,5.128425e-05,2.645386e-04
Electricity-u,GradientBoost,6.25,45312,0.827570,0.835461,0.834931,0.835798,4.065440,2.233228e+01,5.128425e-05,2.645386e-04
Electricity-u,GradientBoost,6.25,45312,0.830138,0.838306,0.837646,0.838557,4.077122,2.233228e+01,5.128425e-05,2.645386e-04
Electricity-u,Neural,102.375,45312,0.828155,0.832064,0.832064,0.832064,130.505887,5.189054e+02,1.191673e-03,6.146987e-03
Electricity-u,Neural,102.375,45312,0.820281,0.828881,0.828162,0.829196,93.899737,5.189054e+02,1.191673e-03,6.146987e-03
Electricity-u,Neural,102.375,45312,0.817058,0.823119,0.823171,0.823659,68.098804,5.189054e+02,1.191673e-03,6.146987e-03
Electricity-u,Neural,102.375,45312,0.823799,0.829779,0.829803,0.830280,91.569366,5.189054e+02,1.191673e-03,6.146987e-03
Electricity-u,Neural,102.375,45312,0.821481,0.827986,0.827923,0.828515,132.768292,5.189054e+02,1.191673e-03,6.146987e-03
