dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Eeg-eye-state,Linear,30.75,14980.000000,0.568244,0.581190,0.572345,0.587116,0.057410,7.676983e-01,1.759916e-06,9.078144e-06
Eeg-eye-state,Linear,30.75,14980.000000,0.608108,0.622090,0.614053,0.624499,0.080113,7.676983e-01,1.759916e-06,9.078144e-06
Eeg-eye-state,Linear,30.75,14980.000000,0.575226,0.590110,0.578755,0.594793,0.065960,7.676983e-01,1.759916e-06,9.078144e-06
Eeg-eye-state,Linear,30.75,14980.000000,0.572003,0.587660,0.574770,0.592457,0.084100,7.676983e-01,1.759916e-06,9.078144e-06
Eeg-eye-state,Linear,30.75,14980.000000,0.551559,0.564465,0.553470,0.572430,0.081192,7.676983e-01,1.759916e-06,9.078144e-06
Eeg-eye-state,Forest,33.25,14980.000000,0.927872,0.932011,0.931014,0.931242,3.115547,1.575247e+01,3.611979e-05,1.863160e-04
Eeg-eye-state,Forest,33.25,14980.000000,0.928496,0.931622,0.931077,0.931242,3.023576,1.575247e+01,3.611979e-05,1.863160e-04
Eeg-eye-state,Forest,33.25,14980.000000,0.930171,0.933320,0.932747,0.932911,3.046954,1.575247e+01,3.611979e-05,1.863160e-04
Eeg-eye-state,Forest,33.25,14980.000000,0.920877,0.925492,0.924286,0.924566,2.998388,1.575247e+01,3.611979e-05,1.863160e-04
Eeg-eye-state,Forest,33.25,14980.000000,0.923218,0.926721,0.926034,0.926235,2.946648,1.575247e+01,3.611979e-05,1.863160e-04
Eeg-eye-state,SupportVector,29.25,14980.000000,0.711095,0.741968,0.718692,0.728972,5.788635,3.850040e+01,8.833988e-05,4.556820e-04
Eeg-eye-state,SupportVector,29.25,14980.000000,0.678565,0.702872,0.685474,0.695928,6.030349,3.850040e+01,8.833988e-05,4.556820e-04
Eeg-eye-state,SupportVector,29.25,14980.000000,0.664319,0.733539,0.664168,0.691923,5.691567,3.850040e+01,8.833988e-05,4.556820e-04
Eeg-eye-state,SupportVector,29.25,14980.000000,0.606385,0.657526,0.600270,0.635514,6.215609,3.850040e+01,8.833988e-05,4.556820e-04
Eeg-eye-state,SupportVector,29.25,14980.000000,0.583846,0.633983,0.572190,0.615154,6.380158,3.850040e+01,8.833988e-05,4.556820e-04
