dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Iris,Linear,1.0,150.000000,0.900000,0.902357,0.899749,0.900000,0.009152,7.682776e-02,2.257744e-07,1.164608e-06
Iris,Linear,1.0,150.000000,1.000000,1.000000,1.000000,1.000000,0.005439,7.682776e-02,2.257744e-07,1.164608e-06
Iris,Linear,1.0,150.000000,0.933333,0.933333,0.933333,0.933333,0.005856,7.682776e-02,2.257744e-07,1.164608e-06
Iris,Linear,1.0,150.000000,0.933333,0.933333,0.933333,0.933333,0.007387,7.682776e-02,2.257744e-07,1.164608e-06
Iris,Linear,1.0,150.000000,1.000000,1.000000,1.000000,1.000000,0.007464,7.682776e-02,2.257744e-07,1.164608e-06
Iris,Forest,1.4375,150.000000,0.900000,0.902357,0.899749,0.900000,0.086286,1.037906e+00,2.369529e-06,1.222270e-05
Iris,Forest,1.4375,150.000000,0.966667,0.969697,0.966583,0.966667,0.082524,1.037906e+00,2.369529e-06,1.222270e-05
Iris,Forest,1.4375,150.000000,0.933333,0.933333,0.933333,0.933333,0.084360,1.037906e+00,2.369529e-06,1.222270e-05
Iris,Forest,1.4375,150.000000,0.933333,0.933333,0.933333,0.933333,0.079287,1.037906e+00,2.369529e-06,1.222270e-05
Iris,Forest,1.4375,150.000000,1.000000,1.000000,1.000000,1.000000,0.078693,1.037906e+00,2.369529e-06,1.222270e-05
Iris,SupportVector,1.4375,150.000000,0.900000,0.902357,0.899749,0.900000,0.004812,6.351280e-02,1.881040e-07,9.702934e-07
Iris,SupportVector,1.4375,150.000000,1.000000,1.000000,1.000000,1.000000,0.005007,6.351280e-02,1.881040e-07,9.702934e-07
Iris,SupportVector,1.4375,150.000000,0.933333,0.933333,0.933333,0.933333,0.004348,6.351280e-02,1.881040e-07,9.702934e-07
Iris,SupportVector,1.4375,150.000000,0.933333,0.933333,0.933333,0.933333,0.003630,6.351280e-02,1.881040e-07,9.702934e-07
