dataset,model,cpu_load,n_samples,test_accuracy,test_precision,test_f1_score,test_recall,fit_time,emission_time,emissions,energy_consumed
Phoneme(NW),Linear,0.0,5404.000000,0.677934,0.744715,0.747704,0.755736,0.023001,2.127340e-01,6.142278e-07,3.168360e-06
Phoneme(NW),Linear,0.0,5404.000000,0.665893,0.742160,0.743618,0.756477,0.018007,2.127340e-01,6.142278e-07,3.168360e-06
Phoneme(NW),Linear,0.0,5404.000000,0.661609,0.732129,0.735400,0.745374,0.017872,2.127340e-01,6.142278e-07,3.168360e-06
Phoneme(NW),Linear,0.0,5404.000000,0.668540,0.735469,0.738835,0.746854,0.015795,2.127340e-01,6.142278e-07,3.168360e-06
Phoneme(NW),Forest,0.0,5404.000000,0.895970,0.915280,0.915428,0.915618,0.665008,3.289460e+00,7.530788e-06,3.884593e-05
Phoneme(NW),Forest,0.0,5404.000000,0.871487,0.895139,0.895358,0.895633,0.642960,3.289460e+00,7.530788e-06,3.884593e-05
Phoneme(NW),Forest,0.0,5404.000000,0.890037,0.915474,0.915540,0.916358,0.635001,3.289460e+00,7.530788e-06,3.884593e-05
Phoneme(NW),Forest,0.0,5404.000000,0.873360,0.899105,0.899422,0.900074,0.655005,3.289460e+00,7.530788e-06,3.884593e-05
Phoneme(NW),SupportVector,0.0,5404.000000,0.821104,0.848022,0.846438,0.845300,0.217478,2.415323e+00,5.527087e-06,2.851028e-05
Phoneme(NW),SupportVector,0.0,5404.000000,0.783811,0.827826,0.828927,0.831236,0.189994,2.415323e+00,5.527087e-06,2.851028e-05
Phoneme(NW),SupportVector,0.0,5404.000000,0.813665,0.847779,0.848314,0.849001,0.191998,2.415323e+00,5.527087e-06,2.851028e-05
Phoneme(NW),SupportVector,0.0,5404.000000,0.813360,0.843441,0.842849,0.842339,0.188999,2.415323e+00,5.527087e-06,2.851028e-05
Phoneme(NW),Neighbors,0.0,5404.000000,0.838381,0.868693,0.869131,0.869726,0.017030,3.969772e-01,1.212003e-06,6.251854e-06
Phoneme(NW),Neighbors,0.0,5404.000000,0.839921,0.875144,0.875554,0.877128,0.007998,3.969772e-01,1.212003e-06,6.251854e-06
Phoneme(NW),Neighbors,0.0,5404.000000,0.847326,0.886532,0.885955,0.888231,0.006999,3.969772e-01,1.212003e-06,6.251854e-06
Phoneme(NW),Neighbors,0.0,5404.000000,0.829709,0.865402,0.865986,0.867506,0.007000,3.969772e-01,1.212003e-06,6.251854e-06
Phoneme(NW),NaiveBayes,0.0,5404.000000,0.730036,0.767891,0.739261,0.729090,0.007999,1.417124e-01,3.719285e-07,1.918512e-06
Phoneme(NW),NaiveBayes,0.0,5404.000000,0.754397,0.788023,0.775699,0.769800,0.006001,1.417124e-01,3.719285e-07,1.918512e-06
Phoneme(NW),NaiveBayes,0.0,5404.000000,0.757273,0.789584,0.774823,0.768320,0.005999,1.417124e-01,3.719285e-07,1.918512e-06
Phoneme(NW),NaiveBayes,0.0,5404.000000,0.758634,0.790883,0.777411,0.771281,0.007043,1.417124e-01,3.719285e-07,1.918512e-06
Phoneme(NW),GradientBoost,0.0,5404.000000,0.837858,0.868023,0.868438,0.868986,0.783035,3.686818e+00,8.441191e-06,4.354204e-05
Phoneme(NW),GradientBoost,0.0,5404.000000,0.812420,0.848077,0.848756,0.849741,0.748337,3.686818e+00,8.441191e-06,4.354204e-05
Phoneme(NW),GradientBoost,0.0,5404.000000,0.817537,0.856094,0.856760,0.858623,0.756002,3.686818e+00,8.441191e-06,4.354204e-05
Phoneme(NW),GradientBoost,0.0,5404.000000,0.816278,0.855284,0.855948,0.857883,0.746997,3.686818e+00,8.441191e-06,4.354204e-05
Phoneme(NW),Neural,0.0,5404.000000,0.835486,0.860972,0.860066,0.859363,9.518462,3.425485e+01,7.851339e-05,4.049942e-04
Phoneme(NW),Neural,0.0,5404.000000,0.811836,0.856295,0.856419,0.859363,9.661546,3.425485e+01,7.851339e-05,4.049942e-04
Phoneme(NW),Neural,0.0,5404.000000,0.837595,0.863809,0.863411,0.863064,6.541488,3.425485e+01,7.851339e-05,4.049942e-04
Phoneme(NW),Neural,0.0,5404.000000,0.820784,0.862570,0.862728,0.865285,7.885702,3.425485e+01,7.851339e-05,4.049942e-04
Phoneme(-1W),Linear,0.0,5404.000000,0.677934,0.744715,0.747704,0.755736,0.013509,2.323453e+00,5.351194e-06,2.760297e-05
Phoneme(-1W),Linear,0.0,5404.000000,0.665893,0.742160,0.743618,0.756477,0.013509,2.323453e+00,5.351194e-06,2.760297e-05
Phoneme(-1W),Linear,0.0,5404.000000,0.661609,0.732129,0.735400,0.745374,0.013509,2.323453e+00,5.351194e-06,2.760297e-05
Phoneme(-1W),Linear,0.0,5404.000000,0.668540,0.735469,0.738835,0.746854,0.013509,2.323453e+00,5.351194e-06,2.760297e-05
Phoneme(-1W),Forest,0.0,5404.000000,0.889133,0.910621,0.910840,0.911177,0.795802,2.419066e+00,5.585118e-06,2.880961e-05
Phoneme(-1W),Forest,0.0,5404.000000,0.879894,0.901896,0.902075,0.902295,0.820834,2.419066e+00,5.585118e-06,2.880961e-05
Phoneme(-1W),Forest,0.0,5404.000000,0.893503,0.916337,0.916524,0.917098,0.796803,2.419066e+00,5.585118e-06,2.880961e-05
Phoneme(-1W),Forest,0.0,5404.000000,0.877662,0.902185,0.902479,0.903035,0.816827,2.419066e+00,5.585118e-06,2.880961e-05
Phoneme(-1W),SupportVector,0.0,5404.000000,0.821104,0.848022,0.846438,0.845300,0.237654,2.115427e+00,4.891746e-06,2.523301e-05
Phoneme(-1W),SupportVector,0.0,5404.000000,0.783811,0.827826,0.828927,0.831236,0.232715,2.115427e+00,4.891746e-06,2.523301e-05
Phoneme(-1W),SupportVector,0.0,5404.000000,0.813665,0.847779,0.848314,0.849001,0.242157,2.115427e+00,4.891746e-06,2.523301e-05
Phoneme(-1W),SupportVector,0.0,5404.000000,0.813360,0.843441,0.842849,0.842339,0.234224,2.115427e+00,4.891746e-06,2.523301e-05
